Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,NA,NA
Afghanistan,AFG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,NA,5.77947771036666
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.3367830366588,58.123668031216
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,380490,379100
Afghanistan,AFG,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,400,NA
Afghanistan,AFG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,0.505689001264223,NA
Afghanistan,AFG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,NA,NA
Afghanistan,AFG,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,NA,NA
Afghanistan,AFG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,NA,NA
Afghanistan,AFG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,NA,NA
Afghanistan,AFG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,310.648363871609
Afghanistan,AFG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,NA,NA
Afghanistan,AFG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,NA,NA
Afghanistan,AFG,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,NA,NA
Afghanistan,AFG,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,NA,NA
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,NA,NA
Afghanistan,AFG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,NA,NA
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,12.1276236910292,11.9497723195805
Afghanistan,AFG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.600132120110488,0.288322847010918
Afghanistan,AFG,Arable land (hectares),AG.LND.ARBL.HA,7910000,7794000
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,NA,NA
Afghanistan,AFG,"Bird species, threatened",EN.BIR.THRD.NO,NA,NA
Afghanistan,AFG,CO2 emissions (kg per 2005 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,NA,0.153403857258872
Afghanistan,AFG,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,NA,0.503135210812861
Afghanistan,AFG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,NA,0.142203136216374
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,1760.16,3927.357
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.133543432684409,0.145284417689025
Afghanistan,AFG,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,NA,NA
Afghanistan,AFG,"CO2 emissions from electricity and heat production, total (million metric tons)",EN.CO2.ETOT.MT,NA,NA
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,10.625,0.186741363211951
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,187.017,7.334
Afghanistan,AFG,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,52.5,71.8020541549953
Afghanistan,AFG,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,924.084,2819.923
Afghanistan,AFG,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,NA,NA
Afghanistan,AFG,CO2 emissions from manufacturing industries and construction (million metric tons),EN.CO2.MANF.MT,NA,NA
Afghanistan,AFG,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,NA,NA
Afghanistan,AFG,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (million metric tons)",EN.CO2.OTHX.MT,NA,NA
Afghanistan,AFG,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,NA,NA
Afghanistan,AFG,CO2 emissions from residential buildings and commercial and public services (million metric tons),EN.CO2.BLDG.MT,NA,NA
