Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,NA,0.312924295619734
Afghanistan,AFG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,NA,NA
Afghanistan,AFG,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,NA,33.5161670451864
Afghanistan,AFG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,NA,NA
Afghanistan,AFG,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,NA,3.49681984391252
Afghanistan,AFG,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,28.8571609235654,29.2769925699913
Afghanistan,AFG,Broad money (current LCU),FM.LBL.BMNY.CN,46344600000,152002075158.01
Afghanistan,AFG,Broad money growth (annual %),FM.LBL.BMNY.ZG,16.8532923185537,31.3838171170001
Afghanistan,AFG,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1.1179338979748,0.980674844487893
Afghanistan,AFG,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,-20.5014490516383,5.54299825712717
Afghanistan,AFG,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,6.89106863665742,-5.5107342855544
Afghanistan,AFG,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,NA,10.4360943548732
Afghanistan,AFG,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,NA,14.2915734645094
Afghanistan,AFG,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,-0.469989031908322,13.0964624347168
Afghanistan,AFG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,NA,1.54278955049729
Afghanistan,AFG,Consumer price index (2005 = 100),FP.CPI.TOTL,NA,151.904863668002
Afghanistan,AFG,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,44.0999984741211,50.947876231444
Afghanistan,AFG,Deposit interest rate (%),FR.INR.DPST,NA,NA
Afghanistan,AFG,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,NA,38.0218301527297
Afghanistan,AFG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,12.8705830151414,4.92536006931885
Afghanistan,AFG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,5.97951437848402,9.31347877844064
Afghanistan,AFG,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,2.85747200740397,9.31347877844064
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,NA,184.70452056432
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,NA,2.17910327402684
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,NA,30.5549406065733
Afghanistan,AFG,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,NA,NA
Afghanistan,AFG,Lending interest rate (%),FR.INR.LEND,NA,14.9175
Afghanistan,AFG,Liquid liabilities (M3) as % of GDP,FS.LBL.LIQU.GD.ZS,28.8571609235654,NA
Afghanistan,AFG,"Listed domestic companies, total",CM.MKT.LDOM.NO,NA,NA
Afghanistan,AFG,Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS,NA,NA
Afghanistan,AFG,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,NA,NA
Afghanistan,AFG,Money (current LCU),FM.LBL.MONY.CN,39779200000,147449218490.01
Afghanistan,AFG,Money and quasi money (M2) (current LCU),FM.LBL.MQMY.CN,46344600000,152002075158.01
Afghanistan,AFG,Money and quasi money (M2) as % of GDP,FM.LBL.MQMY.GD.ZS,28.8571609235654,29.2769925699913
Afghanistan,AFG,Money and quasi money (M2) to total reserves ratio,FM.LBL.MQMY.IR.ZS,1.1179338979748,0.980674844487893
Afghanistan,AFG,Money and quasi money growth (annual %),FM.LBL.MQMY.ZG,16.8532923185537,31.3838171170001
Afghanistan,AFG,Net domestic credit (current LCU),FM.AST.DOMS.CN,20670156124.625,25571784726.4217
Afghanistan,AFG,Net foreign assets (current LCU),FM.AST.NFRG.CN,39353160286.125,172783863615.429
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,429.289532135895,50.2496147435897
Afghanistan,AFG,"Point-of-sale terminals (per 100,000 adults)",FB.POS.TOTL.P5,NA,NA
Afghanistan,AFG,Quasi money (current LCU),FM.LBL.QMNY.CN,6565400000,NA
Afghanistan,AFG,Quasi-liquid liabilities (% of GDP),FS.LBL.QLIQ.GD.ZS,4.08804487097906,NA
Afghanistan,AFG,Real effective exchange rate index (2005 = 100),PX.REX.REER,NA,NA
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,NA,12.4667337232457
Afghanistan,AFG,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,NA,NA
Afghanistan,AFG,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,NA,NA
Afghanistan,AFG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,NA,NA
Afghanistan,AFG,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,NA,NA
Afghanistan,AFG,"Stocks traded, turnover ratio (%)",CM.MKT.TRNR,NA,NA
Afghanistan,AFG,Wholesale price index (2005 = 100),FP.WPI.TOTL,NA,NA
Albania,ALB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,NA,26.8632735865652
Albania,ALB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,NA,8.6
Albania,ALB,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,NA,15.8800290701415
Albania,ALB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,NA,6.6
Albania,ALB,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,NA,100.161096389983
Albania,ALB,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,NA,74.9728522094332
Albania,ALB,Broad money (current LCU),FM.LBL.BMNY.CN,NA,815704632038.633
Albania,ALB,Broad money growth (annual %),FM.LBL.BMNY.ZG,NA,7.66881450177842
Albania,ALB,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,NA,4.11329312233865
