Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,NA,NA
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,157.5858,111.3472
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,95.8605963953318,105.155986709886
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.30965409593824,4.28744215704868
Afghanistan,AFG,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,91.5509422993936,100.868544552838
Afghanistan,AFG,Antiretroviral therapy coverage (% of people with advanced HIV infection),SH.HIV.ARTC.ZS,NA,NA
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,51.602,40.899
Afghanistan,AFG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,NA,24
Afghanistan,AFG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,NA,62.8711250463978
Afghanistan,AFG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,NA,8.25151140404397
Afghanistan,AFG,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,NA,28.8773703895223
Afghanistan,AFG,Children (0-14) living with HIV,SH.HIV.0014,NA,NA
Afghanistan,AFG,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,NA,NA
Afghanistan,AFG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,NA,NA
Afghanistan,AFG,Completeness of birth registration (%),SP.REG.BRTH.ZS,NA,NA
Afghanistan,AFG,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,NA,NA
Afghanistan,AFG,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,NA,NA
Afghanistan,AFG,Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),SP.DTH.INFR.ZS,NA,NA
Afghanistan,AFG,Completeness of total death reporting (% of reported total deaths to estimated total deaths),SP.DTH.REPT.ZS,NA,NA
Afghanistan,AFG,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,NA,NA
