Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,21.3999996185,NA
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,76200,NA
Afghanistan,AFG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,4200,NA
Afghanistan,AFG,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,NA,NA
Afghanistan,AFG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,NA,NA
Afghanistan,AFG,Fixed broadband Internet subscribers,IT.NET.BBND,NA,500
Afghanistan,AFG,Fixed broadband Internet subscribers (per 100 people),IT.NET.BBND.P2,NA,0.00184964618303129
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,NA,NA
Afghanistan,AFG,High-technology exports (current US$),TX.VAL.TECH.CD,NA,NA
Afghanistan,AFG,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,NA,NA
Afghanistan,AFG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,NA,0.4866973095
Afghanistan,AFG,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,NA,29.6308964845154
Afghanistan,AFG,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,NA,361576461.4
Afghanistan,AFG,Internet users (per 100 people),IT.NET.USER.P2,NA,1.84
Afghanistan,AFG,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,NA,NA
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,0,7898909
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,29.2203737639231
Afghanistan,AFG,"Motor vehicles (per 1,000 people)",IS.VEH.NVEH.P3,NA,24.0003461504113
Afghanistan,AFG,"Passenger cars (per 1,000 people)",IS.VEH.PCAR.P3,NA,17.1751309503981
Afghanistan,AFG,"Patent applications, nonresidents",IP.PAT.NRES,NA,NA
Afghanistan,AFG,"Patent applications, residents",IP.PAT.RESD,NA,NA
Afghanistan,AFG,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,NA,0.96
Afghanistan,AFG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,NA,1.05
Afghanistan,AFG,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ,NA,NA
Afghanistan,AFG,Rail lines (total route-km),IS.RRS.TOTL.KM,NA,NA
Afghanistan,AFG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,NA,NA
Afghanistan,AFG,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,NA,NA
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,NA,NA
Afghanistan,AFG,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,NA,NA
Afghanistan,AFG,Road density (km of road per 100 sq. km of land area),IS.ROD.DNST.K2,NA,NA
Afghanistan,AFG,Road sector diesel fuel consumption (kt of oil equivalent),IS.ROD.DESL.KT,NA,NA
Afghanistan,AFG,Road sector diesel fuel consumption per capita (kg of oil equivalent),IS.ROD.DESL.PC,NA,NA
Afghanistan,AFG,Road sector energy consumption (% of total energy consumption),IS.ROD.ENGY.ZS,NA,NA
Afghanistan,AFG,Road sector energy consumption (kt of oil equivalent),IS.ROD.ENGY.KT,NA,NA
Afghanistan,AFG,Road sector energy consumption per capita (kg of oil equivalent),IS.ROD.ENGY.PC,NA,NA
Afghanistan,AFG,Road sector gasoline fuel consumption (kt of oil equivalent),IS.ROD.SGAS.KT,NA,NA
Afghanistan,AFG,Road sector gasoline fuel consumption per capita (kg of oil equivalent),IS.ROD.SGAS.PC,NA,NA
Afghanistan,AFG,"Roads, goods transported (million ton-km)",IS.ROD.GOOD.MT.K6,NA,6350
Afghanistan,AFG,"Roads, passengers carried (million passenger-km)",IS.ROD.PSGR.K6,NA,232
Afghanistan,AFG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,NA,NA
Afghanistan,AFG,"Roads, total network (km)",IS.ROD.TOTL.KM,NA,NA
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,NA,6.6
Afghanistan,AFG,Secure Internet servers,IT.NET.SECR,NA,6
Afghanistan,AFG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,NA,0.221957541963755
Afghanistan,AFG,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,NA,NA
Afghanistan,AFG,Telephone lines,IT.MLT.MAIN,25800,NA
Afghanistan,AFG,Telephone lines (per 100 people),IT.MLT.MAIN.P2,0.195744737027188,NA
Afghanistan,AFG,"Trademark applications, Madrid",IP.TMK.MDRD,NA,NA
Afghanistan,AFG,"Trademark applications, aggregate direct",IP.TMK.AGGD,NA,NA
Afghanistan,AFG,"Trademark applications, direct nonresident",IP.TMK.NRES,NA,NA
Afghanistan,AFG,"Trademark applications, direct resident",IP.TMK.RESD,NA,NA
Afghanistan,AFG,"Trademark applications, total",IP.TMK.TOTL,NA,NA
Afghanistan,AFG,Vehicles (per km of road),IS.VEH.ROAD.K1,NA,NA
Albania,ALB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,NA,0.106
Albania,ALB,"Air transport, passengers carried",IS.AIR.PSGR,NA,243691
Albania,ALB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,NA,5058
Albania,ALB,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,NA,3.10053177786893
Albania,ALB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,NA,46798
Albania,ALB,Fixed broadband Internet subscribers,IT.NET.BBND,NA,64000
Albania,ALB,Fixed broadband Internet subscribers (per 100 people),IT.NET.BBND.P2,NA,2.02749280240055
