Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,(%) Benefits held by 1st 20% population - All Social Insurance,allsi.bi_q1,NA,NA
Afghanistan,AFG,(%) Benefits held by 1st 20% population - All Social Protection,allsp.bi_q1,NA,NA
Afghanistan,AFG,(%) Benefits held by 1st 20% population - All Social Safety Nets,allsa.bi_q1,NA,NA
Afghanistan,AFG,(%) Benefits held by 1st 20% population - Unemp benefits and ALMP,lm_ub.bi_q1,NA,NA
Afghanistan,AFG,(%) Generosity of All Social Insurance,allsi.gen_pop,NA,NA
Afghanistan,AFG,(%) Generosity of All Social Protection,allsp.gen_pop,NA,NA
Afghanistan,AFG,(%) Generosity of All Social Safety Nets,allsa.gen_pop,NA,NA
Afghanistan,AFG,(%) Generosity of Unemp benefits and ALMP,lm_ub.gen_pop,NA,NA
Afghanistan,AFG,(%) Program participation - All Social Insurance,allsi.cov_pop,NA,NA
Afghanistan,AFG,(%) Program participation - All Social Protection,allsp.cov_pop,NA,NA
Afghanistan,AFG,(%) Program participation - All Social Safety Nets,allsa.cov_pop,NA,NA
Afghanistan,AFG,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,NA,NA
Afghanistan,AFG,Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,NA,NA
Afghanistan,AFG,"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,NA,NA
Afghanistan,AFG,"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,NA,NA
Afghanistan,AFG,Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,NA,NA
Afghanistan,AFG,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,NA,NA
Afghanistan,AFG,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,NA,NA
Afghanistan,AFG,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,NA,NA
Afghanistan,AFG,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,NA,NA
Afghanistan,AFG,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,NA,NA
Afghanistan,AFG,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,NA,NA
Afghanistan,AFG,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,NA,NA
Afghanistan,AFG,"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,NA,NA
Afghanistan,AFG,"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS,NA,NA
Afghanistan,AFG,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,NA,NA
Afghanistan,AFG,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,NA,NA
Afghanistan,AFG,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,NA,NA
Afghanistan,AFG,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,NA,NA
Afghanistan,AFG,"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS,NA,NA
Afghanistan,AFG,"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,NA,NA
Afghanistan,AFG,"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,NA,NA
Afghanistan,AFG,"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,NA,NA
Afghanistan,AFG,"Contributing family workers, female (% of females employed)",SL.FAM.WORK.FE.ZS,NA,NA
Afghanistan,AFG,"Contributing family workers, male (% of males employed)",SL.FAM.WORK.MA.ZS,NA,NA
Afghanistan,AFG,"Contributing family workers, total (% of total employed)",SL.FAM.WORK.ZS,NA,NA
Afghanistan,AFG,Emigration rate of tertiary educated (% of total tertiary educated population),SM.EMI.TERT.ZS,NA,NA
Afghanistan,AFG,"Employees, agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,NA,NA
Afghanistan,AFG,"Employees, agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,NA,NA
Afghanistan,AFG,"Employees, industry, female (% of female employment)",SL.IND.EMPL.FE.ZS,NA,NA
Afghanistan,AFG,"Employees, industry, male (% of male employment)",SL.IND.EMPL.MA.ZS,NA,NA
Afghanistan,AFG,"Employees, services, female (% of female employment)",SL.SRV.EMPL.FE.ZS,NA,NA
Afghanistan,AFG,"Employees, services, male (% of male employment)",SL.SRV.EMPL.MA.ZS,NA,NA
