Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,GINI index,SI.POV.GINI,NA,27.82
Afghanistan,AFG,Income share held by fourth 20%,SI.DST.04TH.20,NA,22.14
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,NA,23.21
Afghanistan,AFG,Income share held by highest 20%,SI.DST.05TH.20,NA,37.48
Afghanistan,AFG,Income share held by lowest 10%,SI.DST.FRST.10,NA,4.08
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,NA,9.4
Afghanistan,AFG,Income share held by second 20%,SI.DST.02ND.20,NA,13.61
Afghanistan,AFG,Income share held by third 20%,SI.DST.03RD.20,NA,17.37
Afghanistan,AFG,Poverty gap at $1.25 a day (PPP) (%),SI.POV.GAPS,NA,NA
Afghanistan,AFG,Poverty gap at $2 a day (PPP) (%),SI.POV.GAP2,NA,NA
Afghanistan,AFG,Poverty gap at national poverty line (%),SI.POV.NAGP,NA,7.9
Afghanistan,AFG,Poverty gap at rural poverty line (%),SI.POV.RUGP,NA,8.3
Afghanistan,AFG,Poverty gap at urban poverty line (%),SI.POV.URGP,NA,6.2
Afghanistan,AFG,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,NA,NA
Afghanistan,AFG,Poverty headcount ratio at $2 a day (PPP) (% of population),SI.POV.2DAY,NA,NA
Afghanistan,AFG,Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,NA,36
Afghanistan,AFG,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,NA,37.5
Afghanistan,AFG,Poverty headcount ratio at urban poverty line (% of urban population),SI.POV.URHC,NA,29
Albania,ALB,GINI index,SI.POV.GINI,NA,34.51
Albania,ALB,Income share held by fourth 20%,SI.DST.04TH.20,NA,20.94
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,NA,28.99
Albania,ALB,Income share held by highest 20%,SI.DST.05TH.20,NA,43.02
Albania,ALB,Income share held by lowest 10%,SI.DST.FRST.10,NA,3.53
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,NA,8.14
Albania,ALB,Income share held by second 20%,SI.DST.02ND.20,NA,12.05
Albania,ALB,Income share held by third 20%,SI.DST.03RD.20,NA,15.85
Albania,ALB,Poverty gap at $1.25 a day (PPP) (%),SI.POV.GAPS,NA,0.19
Albania,ALB,Poverty gap at $2 a day (PPP) (%),SI.POV.GAP2,NA,0.85
Albania,ALB,Poverty gap at national poverty line (%),SI.POV.NAGP,NA,2.3
Albania,ALB,Poverty gap at rural poverty line (%),SI.POV.RUGP,NA,2.6
Albania,ALB,Poverty gap at urban poverty line (%),SI.POV.URGP,NA,1.9
Albania,ALB,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,NA,0.62
Albania,ALB,Poverty headcount ratio at $2 a day (PPP) (% of population),SI.POV.2DAY,NA,4.25
Albania,ALB,Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,NA,12.4
Albania,ALB,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,NA,14.6
Albania,ALB,Poverty headcount ratio at urban poverty line (% of urban population),SI.POV.URHC,NA,10.1
Algeria,DZA,GINI index,SI.POV.GINI,NA,NA
Algeria,DZA,Income share held by fourth 20%,SI.DST.04TH.20,NA,NA
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,NA,NA
Algeria,DZA,Income share held by highest 20%,SI.DST.05TH.20,NA,NA
Algeria,DZA,Income share held by lowest 10%,SI.DST.FRST.10,NA,NA
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,NA,NA
Algeria,DZA,Income share held by second 20%,SI.DST.02ND.20,NA,NA
Algeria,DZA,Income share held by third 20%,SI.DST.03RD.20,NA,NA
Algeria,DZA,Poverty gap at $1.25 a day (PPP) (%),SI.POV.GAPS,NA,NA
Algeria,DZA,Poverty gap at $2 a day (PPP) (%),SI.POV.GAP2,NA,NA
Algeria,DZA,Poverty gap at national poverty line (%),SI.POV.NAGP,NA,NA
Algeria,DZA,Poverty gap at rural poverty line (%),SI.POV.RUGP,NA,NA
Algeria,DZA,Poverty gap at urban poverty line (%),SI.POV.URGP,NA,NA
Algeria,DZA,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,NA,NA
Algeria,DZA,Poverty headcount ratio at $2 a day (PPP) (% of population),SI.POV.2DAY,NA,NA
Algeria,DZA,Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,NA,NA
Algeria,DZA,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,NA,NA
Algeria,DZA,Poverty headcount ratio at urban poverty line (% of urban population),SI.POV.URHC,NA,NA
American Samoa,ASM,GINI index,SI.POV.GINI,NA,NA
American Samoa,ASM,Income share held by fourth 20%,SI.DST.04TH.20,NA,NA
American Samoa,ASM,Income share held by highest 10%,SI.DST.10TH.10,NA,NA
American Samoa,ASM,Income share held by highest 20%,SI.DST.05TH.20,NA,NA
American Samoa,ASM,Income share held by lowest 10%,SI.DST.FRST.10,NA,NA
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,NA,NA
American Samoa,ASM,Income share held by second 20%,SI.DST.02ND.20,NA,NA
American Samoa,ASM,Income share held by third 20%,SI.DST.03RD.20,NA,NA
American Samoa,ASM,Poverty gap at $1.25 a day (PPP) (%),SI.POV.GAPS,NA,NA
American Samoa,ASM,Poverty gap at $2 a day (PPP) (%),SI.POV.GAP2,NA,NA
American Samoa,ASM,Poverty gap at national poverty line (%),SI.POV.NAGP,NA,NA
American Samoa,ASM,Poverty gap at rural poverty line (%),SI.POV.RUGP,NA,NA
American Samoa,ASM,Poverty gap at urban poverty line (%),SI.POV.URGP,NA,NA
American Samoa,ASM,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,NA,NA
American Samoa,ASM,Poverty headcount ratio at $2 a day (PPP) (% of population),SI.POV.2DAY,NA,NA
American Samoa,ASM,Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,NA,NA
American Samoa,ASM,Poverty headcount ratio at rural poverty line (% of rural population),SI.POV.RUHC,NA,NA
American Samoa,ASM,Poverty headcount ratio at urban poverty line (% of urban population),SI.POV.URHC,NA,NA
Andorra,ADO,GINI index,SI.POV.GINI,NA,NA
Andorra,ADO,Income share held by fourth 20%,SI.DST.04TH.20,NA,NA
Andorra,ADO,Income share held by highest 10%,SI.DST.10TH.10,NA,NA
Andorra,ADO,Income share held by highest 20%,SI.DST.05TH.20,NA,NA
Andorra,ADO,Income share held by lowest 10%,SI.DST.FRST.10,NA,NA
Andorra,ADO,Income share held by lowest 20%,SI.DST.FRST.20,NA,NA
