Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,NA,1.42513979590446
Afghanistan,AFG,"Armed forces personnel, total",MS.MIL.TOTL.P1,NA,94000
Afghanistan,AFG,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,NA,NA
Afghanistan,AFG,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,372000000,152000000
Afghanistan,AFG,Battle-related deaths (number of people),VC.BTL.DETH,NA,4446
Afghanistan,AFG,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,NA,3
Afghanistan,AFG,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,NA,2.5
Afghanistan,AFG,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,NA,3
Afghanistan,AFG,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,NA,3.2
Afghanistan,AFG,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,NA,2.5
Afghanistan,AFG,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,NA,2.5
Afghanistan,AFG,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,NA,2.5
Afghanistan,AFG,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,NA,3
Afghanistan,AFG,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,NA,2
Afghanistan,AFG,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,NA,3.5
Afghanistan,AFG,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,NA,2.5
Afghanistan,AFG,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,NA,2.5
Afghanistan,AFG,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,NA,1.5
Afghanistan,AFG,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,NA,2.2
