Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,NA,5.03313954860083
Afghanistan,AFG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,NA,0.00237097073842654
Afghanistan,AFG,Average time to clear exports through customs (days),IC.CUS.DURS.EX,NA,14.6
Afghanistan,AFG,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,NA,NA
Afghanistan,AFG,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,NA,NA
Afghanistan,AFG,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,NA,NA
Afghanistan,AFG,"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,NA,NA
Afghanistan,AFG,"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,NA,NA
Afghanistan,AFG,"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,NA,NA
Afghanistan,AFG,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,NA,1
Afghanistan,AFG,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,NA,1187397252.26
Afghanistan,AFG,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,NA,532954516.46
Afghanistan,AFG,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,NA,86.7916035085234
Afghanistan,AFG,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,NA,27.839825949976
Afghanistan,AFG,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,NA,59.5
Afghanistan,AFG,Cost to export (US$ per container),IC.EXP.COST.CD,NA,2680
Afghanistan,AFG,Cost to import (US$ per container),IC.IMP.COST.CD,NA,2600
Afghanistan,AFG,Credit depth of information index (0=low to 6=high),IC.CRD.INFO.XQ,NA,0
Afghanistan,AFG,Delay in obtaining an electrical connection (days),IC.ELC.DURS,NA,45.8
Afghanistan,AFG,Documents to export (number),IC.EXP.DOCS,NA,10
Afghanistan,AFG,Documents to import (number),IC.IMP.DOCS,NA,10
Afghanistan,AFG,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,NA,NA
Afghanistan,AFG,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,362.2864864865,393.3130389187
Afghanistan,AFG,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,NA,186.5601832798
Afghanistan,AFG,Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS,NA,45.9
Afghanistan,AFG,Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,NA,28.8
